,Area Name,Pin Code,Latitude,Longitude
336,Sadar Thana Road,110006,28.658045965918422,77.21260300610786
337,Shakti Nagar,110007,28.67557000000005,77.16190000000006
338,Subzi Mandi,110007,28.67357000000004,77.20359000000008
339,Sewa Sangh,110007,28.65992647310494,77.31398982144319
340,Safdarjang Air Port,110007,28.583530000000053,77.21228000000008
341,South Avenue,110011,28.493870000000072,77.22021000000007
342,Sectt South,110011,28.483672280000064,77.19762642700005
343,Shahjahan Road,110011,28.604171201099497,77.2247581715403
344,Sudershan Park,110015,28.660160000000076,77.13598000000007
345,Shri Aurobindo,110016,28.57233506095239,77.26421009156118
346,South Malviya Nagar,110017,28.53394000000003,77.20702000000006
347,Sarojini Nagar H O,110023,28.5753539137789,77.18536782606535
348,Subhash Nagar,110027,28.63557000000003,77.11777000000006
349,Subhash Nagar West,110027,28.63557000000003,77.11777000000006
350,Safdarjang Enclave,110029,28.56484000000006,77.19468000000006
351,Sahstri Nagar,110031,28.647520000000043,77.27082000000007
352,Seemapuri Old,110032,28.68019000000004,77.32929000000007
353,Shahdara Mandi,110032,28.669460000000072,77.29220000000004
354,Shahdara,110032,28.68003747700004,77.29513431800007
355,Suraj Nagar,110033,28.71189000000004,77.18039000000005
356,Shalimar Bagh,110033,28.714230000000043,77.15744000000007
357,Shakurpur Block I,110034,28.688590000000033,77.14598000000007
358,Srinagar Colony,110034,28.573600000000056,76.95129000000003
359,Saraswati Vihar,110034,28.690930000000037,77.10899000000006
360,Shakurbasti R S,110034,28.682780000000037,77.11124000000007
361,Sarai Rohila,110035,28.665830000000028,77.18481000000008
362,Sanoth,110040,28.812460000000044,77.06749000000008
363,Sultanpuri Block F,110041,28.698514909140922,77.07836306691064
364,Suttanpuri Block B,110041,28.698514909140922,77.07836306691064
365,Sultanpuri Block C,110041,28.698514909140922,77.07836306691064
366,Sameypur Badli,110042,28.74454435692266,77.14482289123288
367,Sadiq Nagar,110049,28.55812000000003,77.22477000000003
368,South Extn Part Ii,110049,28.564910000000054,77.21980000000008
369,South Extn Part I,110049,28.568670000000054,77.22143000000005
370,Shastri Nagar,110052,28.647520000000043,77.27082000000007
371,Satyawati Nagar,110052,28.691970000000026,77.18679000000003
372,Seelampur,110053,28.67011000000008,77.27122000000008
373,Swami Ram Tirath Nagar,110055,28.646010000000047,77.20240000000007
374,Shakurbasti,110056,28.682780000000037,77.11124000000007
375,Sriniwaspuri,110065,28.565680000000043,77.25733000000008
376,Shakarpur,110092,28.62715000000003,77.27940000000007
377,Than Singh Nagar,110005,28.65787957588263,77.18414413790735
378,Timarpur,110007,28.700780000000066,77.22116000000005
379,Tilak Nagar,110018,28.64089000000007,77.08922000000007
380,Tihar,110018,25.29558000000003,83.09442000000007
381,Tilak Nagar East,110018,28.641630000000077,77.08587000000006
382,Tatarpur,110027,28.68844766642966,77.31707890338937
383,T B Hospital,110030,28.68844766642966,77.31707890338937
384,Teliwara,110032,28.668870000000027,77.29016000000007
385,Tughlakabad,110044,28.518580000000043,77.27589000000006
386,Tughlakabad A F Station,110044,28.518580000000043,77.27589000000006
387,Trilokpuri,110091,28.608290000000068,77.30931000000004
388,U P S C,110011,28.66682000000003,77.21896000000004
389,Udyog Bhawan,110011,28.61185000000006,77.21204000000006
390,Uttam Nagar,110059,28.617390000000057,77.05281000000008
391,Ujwa,110073,28.574790000000064,76.90871000000004
392,Vishnu Garden,110015,28.65112000000005,77.10206000000005
393,Vikaspuri,110018,28.644640000000038,77.07511000000005
394,Vishnu Garden,110018,28.65112000000005,77.10206000000005
395,Vishwa Karma Nagar,110032,28.672450000000026,77.30697000000004
396,Vishwan Nagar,110032,28.661778899103446,77.28709337739585
397,Vivek Vihar,110032,28.668950000000052,77.31884000000008
398,Vijay Nagar,110033,28.601920000000064,77.07297000000005
399,Vasant Vihar I,110057,27.906793445255797,78.0487542291095
400,Vasant Vihar II,110057,28.55520000000007,77.16371000000004
401,Wazir Nagar,110003,28.570290000000057,77.22510000000005
402,Wazir Nagar,110007,28.570290000000057,77.22510000000005
403,Work Shop,110010,23.11945000000003,83.19366000000008
404,Wazirpur Phase III,110052,28.693020000000047,77.18162000000007
405,Yusaf Sarai,110016,28.55863000000005,77.20804000000004
406,Yamuna Vihar,110053,28.70061000000004,77.27202000000005
407,Zakhira,110015,28.669784137917713,77.16262530036204
408,Zakhir Nagar,110025,28.567530000000033,77.27978000000007
409,Zafrabad,110053,28.679700000000025,77.27151000000003
